gcp_id,height_offset_m,rpc_col,rpc_row,rpc_error_px,rpc_error_m,gt_used_for_rpc_projection
gf7_esri_0048,-20.0,9113.190481146645,1933.5512459206693,19.200019747250508,12.40874847910136,False
gf7_esri_0050,-20.0,9710.460384823931,9508.63011657735,9.149573571958804,5.913297332260703,False
gf7_esri_0051,-20.0,9636.117729032532,13739.471327366315,7.205002747604951,4.6565446206605206,False
gf7_esri_0052,-20.0,16669.260446438624,14297.734150538727,7.679220972642562,4.962982217862091,False
gf7_esri_0054,-20.0,8433.989731711405,9081.116516528402,6.22437800229919,4.022791934281264,False
gf7_esri_0056,-20.0,8667.760022438195,13522.970686623652,8.798768951159538,5.686602840301231,False
gf7_esri_0057,-20.0,13448.277561825085,15207.532759559293,10.763403923286317,6.956264720834734,False
gf7_esri_0058,-20.0,9249.367113958391,2050.5813570867285,7.989662003973006,5.163628514566542,False
gf7_esri_0059,-20.0,8614.19795641299,9735.892558133379,9.597130932491982,6.2025504954583255,False
gf7_esri_0062,-20.0,13298.907318474765,11581.44293661642,8.10819405965972,5.24021886475364,False
gf7_esri_0063,-20.0,9158.52688109143,1811.0987027687588,19.75305713678159,12.76614534508079,False
gf7_esri_0064,-20.0,8729.413551696314,9309.481694614276,7.243661591169184,4.681527837089975,False
gf7_esri_0066,-20.0,9857.424140006413,13776.469833346662,7.965602647518029,5.14811937176533,False
gf7_esri_0067,-20.0,16026.250815075804,12599.650981615305,6.938557454443964,4.484307643348554,False
gf7_esri_0070,-20.0,14922.870335505319,8528.899151388783,9.327117734466302,6.027977455874449,False
gf7_esri_0071,-20.0,8515.706993959444,13204.136485544757,8.672455210769064,5.604970652269152,False
gf7_esri_0072,-20.0,12920.279926624899,15220.225748650111,8.96261438552323,5.7924428706622635,False
gf7_esri_0073,-20.0,8419.46449698237,1261.4906916828477,9.601203450113008,6.205171871562523,False
gf7_esri_0075,-20.0,10227.667441985577,9451.987460146376,7.179349598885051,4.6399498335061935,False
gf7_esri_0076,-20.0,8819.746178435884,13558.044432810733,9.24040761320199,5.972031278551303,False
gf7_esri_0077,-20.0,16016.239314850174,12426.4944965526,6.938914690029352,4.484534122518384,False
gf7_esri_0078,-20.0,9099.500536758671,1650.9288269505887,8.48026928026313,5.480720940923963,False
gf7_esri_0080,-20.0,10026.472091654814,10220.21962038726,7.957500581202055,5.142857633364809,False
