method,method_label_cn,split,bias_model,requested_gcp_count,used_gcp_count,icp_count,selection,rmse_x_px,rmse_y_px,rmse_2d_px,median_error_px,p90_error_px,p95_error_px,rmse_2d_m,median_error_m,ce90_m,p95_error_m
raw_scharr_ncc,原始 Scharr NCC,3,translation,5,5,24,spatial_farthest_with_margin_tiebreak,2.1261053007443107,1.3679752706994652,2.5281772269954357,1.2008519634616106,4.648790762529982,5.310286634767101,1.6339401333480952,0.776104507568103,3.0044616141501126,3.4319785411251895
raw_scharr_ncc,原始 Scharr NCC,3,translation,10,10,24,spatial_farthest_with_margin_tiebreak,2.0370716075994153,1.3682055111170197,2.453904451102091,1.0334408467579945,4.447177849868381,5.109544173130696,1.585938431811869,0.6679075955663184,2.8741614427977016,3.3022409451069663
raw_scharr_ncc,原始 Scharr NCC,3,translation,20,20,24,spatial_farthest_with_margin_tiebreak,1.9175595039577504,1.382395336010223,2.36390594488053,1.1950131047881558,4.0887816833068875,4.754575419834067,1.5277734802180767,0.7723262728444963,2.64253400811971,3.0728286307792145
raw_scharr_ncc,原始 Scharr NCC,3,translation,50,50,24,spatial_farthest_with_margin_tiebreak,1.9091228161915088,1.3708788231252798,2.3503316095811564,1.1703587971058762,4.078508092552865,4.736909175483893,1.5190005705380656,0.7563924144752405,2.6358942984995655,3.061411135585841
raw_scharr_ncc,原始 Scharr NCC,3,affine,5,5,24,spatial_farthest_with_margin_tiebreak,2.0916262683579574,1.3798009760192038,2.505743638105978,1.216917058724635,4.551973243200369,5.3558077986153005,1.6194414345081087,0.7864823136232288,2.9418895699464236,3.4613983572607725
raw_scharr_ncc,原始 Scharr NCC,3,affine,10,10,24,spatial_farthest_with_margin_tiebreak,2.0357627689067104,1.389085437145095,2.4645259996509057,1.0930944962608233,4.420912024735022,5.180950573756858,1.5928031354550227,0.706457679470909,2.8571861590089087,3.348390098891505
raw_scharr_ncc,原始 Scharr NCC,3,affine,20,20,24,spatial_farthest_with_margin_tiebreak,1.9274290930466154,1.394193101731206,2.3788142663178604,1.2243819640694926,4.101035738380756,4.792081308930292,1.5374087264943095,0.7913104392895443,2.6504536741070566,3.097068265267592
raw_scharr_ncc,原始 Scharr NCC,3,affine,50,50,24,spatial_farthest_with_margin_tiebreak,1.9303900169783166,1.374173528261565,2.3695481644027376,1.4161514789009837,4.113302428930383,4.723047466980763,1.5314201185724479,0.9152463500930756,2.6583814773321826,3.0524524693862616
raw_scharr_ncc,原始 Scharr NCC,4,translation,5,5,24,spatial_farthest_with_margin_tiebreak,2.0311827933291635,1.3652681135999885,2.447378303803753,1.1663327026536376,4.633153136259154,5.310286634767101,1.5817215849889799,0.7537912948720561,2.9943619190050295,3.4319785411251895
raw_scharr_ncc,原始 Scharr NCC,4,translation,10,10,24,spatial_farthest_with_margin_tiebreak,1.9059245468427812,1.381907673478965,2.354191410288872,0.970117260614999,4.346199491380538,5.0186890586418444,1.5214956488410043,0.6269750077105276,2.808906462625799,3.2435223061774034
raw_scharr_ncc,原始 Scharr NCC,4,translation,20,20,24,spatial_farthest_with_margin_tiebreak,1.870771865322494,1.3710103727530534,2.319365605996319,0.9905411945239728,4.26651490783524,4.94168823564625,1.498988042690958,0.6401761645043413,2.757407059820633,3.1937575399037534
raw_scharr_ncc,原始 Scharr NCC,4,translation,50,50,24,spatial_farthest_with_margin_tiebreak,1.8129271444968758,1.3682018389418353,2.2712730138266988,1.1237685457009938,4.100130471915041,4.776749566471171,1.4679062326108263,0.7262795745147573,2.6498743539329572,3.0871595323417322
raw_scharr_ncc,原始 Scharr NCC,4,affine,5,5,24,spatial_farthest_with_margin_tiebreak,2.01707433164587,1.3861146641098687,2.447427776553385,1.0526124996527666,4.540403811028978,5.3558077986153005,1.5817531777215625,0.6802970637547201,2.9344183788041844,3.4613983572607725
raw_scharr_ncc,原始 Scharr NCC,4,affine,10,10,24,spatial_farthest_with_margin_tiebreak,1.9292888994420838,1.4349490642237228,2.404419779162321,1.1602250212910272,4.36821796350629,5.174168312529859,1.5539576040921943,0.7498432756964719,2.8231363020380056,3.344006799624274
raw_scharr_ncc,原始 Scharr NCC,4,affine,20,20,24,spatial_farthest_with_margin_tiebreak,1.8755607562899417,1.3844876336121423,2.3312087332883444,0.9921322027677583,4.308750202700156,4.986369548486003,1.5066422616043744,0.6412086443548509,2.784703322720485,3.2226345700784758
raw_scharr_ncc,原始 Scharr NCC,4,affine,50,50,24,spatial_farthest_with_margin_tiebreak,1.809890689148333,1.3878077164116478,2.2807267623276446,1.1664584435988186,4.09785303630657,4.751848572916744,1.4740164079993365,0.7538695530346826,2.6484025461699727,3.0710663002668506
compact_64B_orientation_l1,64 B 方向空间码 / L1,0,translation,5,5,24,spatial_farthest_with_margin_tiebreak,1.6202630019495523,3.2231459189297547,3.6074813665769794,3.1730726082386793,4.815592044499871,5.077293392908601,2.3314904695606393,2.050739077803093,3.112318392964041,3.2814438770574306
compact_64B_orientation_l1,64 B 方向空间码 / L1,0,translation,10,10,24,spatial_farthest_with_margin_tiebreak,1.7004280649256118,2.774649167659054,3.254248547295941,3.0894520983264946,4.405233717945412,4.626491947444881,2.103198745940679,1.9966936182624213,2.8471051970335064,2.99009186532554
compact_64B_orientation_l1,64 B 方向空间码 / L1,0,affine,5,5,24,spatial_farthest_with_margin_tiebreak,2.4386246414209554,7.930421778441207,8.296895788529593,8.14541394961254,9.73353164542328,9.917993468738358,5.362223691513329,5.264298971845817,6.29075917824588,6.409907038566207
compact_64B_orientation_l1,64 B 方向空间码 / L1,0,affine,10,10,24,spatial_farthest_with_margin_tiebreak,2.6536888948823236,6.650206721204484,7.160119704695939,7.250221358057617,8.333832263573822,8.748804164084824,4.62753627854582,4.685754291865032,5.3860678982322625,5.654317503784383
compact_64B_orientation_l1,64 B 方向空间码 / L1,0,affine,20,20,24,spatial_farthest_with_margin_tiebreak,2.930226857217394,6.34302806172502,6.98714780340227,7.0310788623946845,8.479136677351326,8.625876199657515,4.51574853101944,4.544129802888694,5.479990648485704,5.5748694273598725
