method,method_label_cn,split,bias_model,gcp_count,icp_count,gcp_ransac_inlier_count,gcp_ransac_inlier_ratio,geometrically_verified_reuse_rate,before_rmse_x_px,before_rmse_y_px,before_rmse_2d_px,before_median_error_px,before_p90_error_px,before_p95_error_px,before_rmse_2d_m,before_median_error_m,before_ce90_m,before_p95_error_m,after_rmse_x_px,after_rmse_y_px,after_rmse_2d_px,after_median_error_px,after_p90_error_px,after_p95_error_px,after_rmse_2d_m,after_median_error_m,after_ce90_m,after_p95_error_m,parameters,split_uses_rpc_coordinates_only,icp_not_used_for_bias_fit
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,4,translation,100,24,24,0.24,0.1935483870967742,8.338431391182128,2.231240201099444,8.631794187795132,8.018193854103192,11.499422351264123,12.242625172517492,5.578661751522963,5.182158703742508,7.432016775369327,7.912283626442942,8.729184340771376,6.211665389917536,10.713703662668086,10.958658393865086,11.883970179101537,11.886022795978443,6.924185412797049,7.082441883244667,7.680567855751193,7.681805320055407,"{""kind"":""translation"",""coefficients"":[-16.712209419007724,-4.2949791513321145],""centre"":[10093.949872383686,10455.975970022886],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,4,affine,100,24,28,0.28,0.22580645161290322,8.338431391182128,2.231240201099444,8.631794187795132,8.018193854103192,11.499422351264123,12.242625172517492,5.578661751522963,5.182158703742508,7.432016775369327,7.912283626442942,9.002627999338257,6.864126736594791,11.320934005218147,11.125419164302823,13.565363958405007,13.609833278805784,7.316624419285653,7.19027327124389,8.767128309179618,8.795846635235536,"{""kind"":""affine"",""coefficients"":[[-16.943659379193782,-4.8455489074661555],[-0.9601847823714045,-7.83108167477925],[2.788892680864307,2.716481557277149]],""centre"":[10093.949872383686,10455.975970022886],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,0,translation,100,24,52,0.52,0.41935483870967744,8.17818338082941,2.0687489967833104,8.435781281076833,8.045778673328279,10.643970835394429,11.597802887281816,5.4519857066810395,5.199899503796688,6.87910502005879,7.495595712022296,1.5685088439044064,1.571207049047461,2.2201152187178863,1.3755852508965933,3.906774848884063,4.61871719888379,1.4348450118411704,0.889032166487725,2.5249099323113096,2.985037951629609,"{""kind"":""translation"",""coefficients"":[-7.895032163172711,1.8606195579230893],""centre"":[10106.673931278063,10419.802665420139],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,0,affine,100,24,46,0.46,0.3709677419354839,8.17818338082941,2.0687489967833104,8.435781281076833,8.045778673328279,10.643970835394429,11.597802887281816,5.4519857066810395,5.199899503796688,6.87910502005879,7.495595712022296,2.0234317329670484,2.3579118372496795,3.1070925654412345,2.465915688931434,4.520555173576574,5.7345206831242646,2.0080931548902323,1.5937332994723983,2.921586235817788,3.7061727424097675,"{""kind"":""affine"",""coefficients"":[[-8.000049608032288,2.1593969250573943],[3.354384771984576,0.7030445214420276],[2.312292216006594,4.185380351856614]],""centre"":[10106.673931278063,10419.802665420139],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,1,translation,100,24,57,0.57,0.4596774193548387,8.395575231953076,2.2954639273083877,8.703725530883771,8.405634546159241,9.28248633257924,10.751221568040233,5.6251464791708905,5.4324798712571045,5.999178568611355,6.948396432599555,2.4193992290074577,1.6091213022200466,2.905643473411736,1.3909206031412755,2.766929780884486,3.3557925401573323,1.8778850274601055,0.8989436224252393,1.788238382427023,2.168832530852923,"{""kind"":""translation"",""coefficients"":[-7.851247578663082,1.9965840537968194],""centre"":[10106.710274662273,10383.59344540793],""scale"":[15210.365471710013,14212.10636526954]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,1,affine,100,24,53,0.53,0.4274193548387097,8.395575231953076,2.2954639273083877,8.703725530883771,8.405634546159241,9.28248633257924,10.751221568040233,5.6251464791708905,5.4324798712571045,5.999178568611355,6.948396432599555,2.3257894734319806,1.6806467105706864,2.8694720839344434,1.66634471939639,3.3933693437068793,3.9535484252004354,1.8545098978390144,1.0769412476511708,2.193120040499115,2.5551334766476006,"{""kind"":""affine"",""coefficients"":[[-8.27299653139225,2.184843853990318],[-1.5552479951668674,-0.6557567475628587],[1.2435910497931162,2.945670608253587]],""centre"":[10106.710274662273,10383.59344540793],""scale"":[15210.365471710013,14212.10636526954]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,2,translation,100,24,51,0.51,0.4112903225806452,8.056684260676064,2.287942368107579,8.375251730903804,8.018193854103192,9.098723211560976,9.455432296372127,5.41286346734223,5.182158703742508,5.880436363509124,6.110949688420141,1.7737845778450405,1.741288279053451,2.485638066849202,0.9286061311778523,2.3118892158245234,2.423614654628457,1.6064482479167512,0.6001559451345659,1.4941593582228603,1.5663721214686264,"{""kind"":""translation"",""coefficients"":[-7.935968447289479,1.8076022348024805],""centre"":[10158.670821099608,10449.704565449598],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,2,affine,100,24,48,0.48,0.3870967741935484,8.056684260676064,2.287942368107579,8.375251730903804,8.018193854103192,9.098723211560976,9.455432296372127,5.41286346734223,5.182158703742508,5.880436363509124,6.110949688420141,2.032982621338931,1.8456471425890093,2.7458025627515696,1.8807627410091805,4.110060782623639,4.415856943038494,1.7745932472927244,1.2155179143819264,2.656303477532409,2.853942633618571,"{""kind"":""affine"",""coefficients"":[[-8.996343780246146,1.2173537212109091],[0.9306584433548734,-2.251527012193274],[4.584093992233448,6.771225936337763]],""centre"":[10158.670821099608,10449.704565449598],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,3,translation,100,24,56,0.56,0.45161290322580644,8.36196187380896,2.255262060191252,8.66075131493641,8.405223472840483,11.51185862442593,12.242625172517492,5.5973711211298065,5.432227570827489,7.440034129271362,7.912283626442942,1.9350237934348817,1.3996386757451,2.3881594385217704,1.199937689200659,4.131737496131027,4.804261584953388,1.5434482125744242,0.7755089876684902,2.670295872342797,3.104940240769478,"{""kind"":""translation"",""coefficients"":[-7.565102621375138,2.091199585125176],""centre"":[10068.279649422473,10467.183462981986],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,3,affine,100,24,56,0.56,0.45161290322580644,8.36196187380896,2.255262060191252,8.66075131493641,8.405223472840483,11.51185862442593,12.242625172517492,5.5973711211298065,5.432227570827489,7.440034129271362,7.912283626442942,1.896239246960376,1.4434155094776395,2.3831012598531034,1.3320482600441559,3.9672936230126536,4.677246020078239,1.5401799226116055,0.860894498024307,2.564017646222058,3.022851509292661,"{""kind"":""affine"",""coefficients"":[[-7.669458317393303,2.0641686027841084],[-0.12039682044168067,1.06376870845476],[-0.08827267195834376,0.4484197159792495]],""centre"":[10068.279649422473,10467.183462981986],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,4,translation,100,24,58,0.58,0.46774193548387094,8.338431391182128,2.231240201099444,8.631794187795132,8.018193854103192,11.499422351264123,12.242625172517492,5.578661751522963,5.182158703742508,7.432016775369327,7.912283626442942,1.7751555653722044,1.4383377521908243,2.2847303496581963,1.4255021062388014,3.9271141434936436,4.5923532054451375,1.476603586193077,0.921289578869836,2.5380555270971588,2.9679862376322124,"{""kind"":""translation"",""coefficients"":[-7.767436674851871,2.2174320308932063],""centre"":[10093.949872383686,10455.975970022886],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,4,affine,100,24,54,0.54,0.43548387096774194,8.338431391182128,2.231240201099444,8.631794187795132,8.018193854103192,11.499422351264123,12.242625172517492,5.578661751522963,5.182158703742508,7.432016775369327,7.912283626442942,1.7729760909589296,1.6773573946286502,2.4406908957152726,1.5490376878295464,3.702294499520085,4.466350436284708,1.5774008871558158,1.0011367429360372,2.392756345455793,2.8865520641642104,"{""kind"":""affine"",""coefficients"":[[-8.139595975059073,2.3208893775870747],[1.286959543508671,-0.4217825513376608],[-0.20474821217234956,2.1483821571120507]],""centre"":[10093.949872383686,10455.975970022886],""scale"":[15540.494999322784,14336.889124427942]}",True,True
webp_q30_ncc,WebP Q30 + Scharr NCC,0,translation,100,24,89,0.89,0.717741935483871,8.17818338082941,2.0687489967833104,8.435781281076833,8.045778673328279,10.643970835394429,11.597802887281816,5.4519857066810395,5.199899503796688,6.87910502005879,7.495595712022296,1.6309146035855133,1.5745411637858169,2.26695000400196,1.0764131644592743,4.105022356034949,4.875458337061696,1.4651139122806183,0.6956791133480016,2.6530457909358303,3.150956174814131,"{""kind"":""translation"",""coefficients"":[-7.561408094007389,1.8722869669152962],""centre"":[10106.673931278063,10419.802665420139],""scale"":[15389.150055266278,14336.889124427942]}",True,True
webp_q30_ncc,WebP Q30 + Scharr NCC,0,affine,100,24,89,0.89,0.717741935483871,8.17818338082941,2.0687489967833104,8.435781281076833,8.045778673328279,10.643970835394429,11.597802887281816,5.4519857066810395,5.199899503796688,6.87910502005879,7.495595712022296,1.6652180349771581,1.5211117081132954,2.255378445532487,0.8936133130151815,4.065182285683259,4.808172337653446,1.4576353419431096,0.5775350921205347,2.6272817927419108,3.107481178734193,"{""kind"":""affine"",""coefficients"":[[-7.560951687171293,1.866461466735828],[-0.065232640038777,0.5885730541467633],[0.6645987068730291,-0.6292022540635086]],""centre"":[10106.673931278063,10419.802665420139],""scale"":[15389.150055266278,14336.889124427942]}",True,True
webp_q30_ncc,WebP Q30 + Scharr NCC,1,translation,100,24,89,0.89,0.717741935483871,8.395575231953076,2.2954639273083877,8.703725530883771,8.405634546159241,9.28248633257924,10.751221568040233,5.6251464791708905,5.4324798712571045,5.999178568611355,6.948396432599555,2.461146908729533,1.5857017454317037,2.927745571564252,1.2978706883299578,2.939405093194401,3.2607481584028837,1.892169110985866,0.8387958015552184,1.8997242229511273,2.1073878520949867,"{""kind"":""translation"",""coefficients"":[-7.55175943636511,1.848914286041665],""centre"":[10106.710274662273,10383.59344540793],""scale"":[15210.365471710013,14212.10636526954]}",True,True
webp_q30_ncc,WebP Q30 + Scharr NCC,1,affine,100,24,89,0.89,0.717741935483871,8.395575231953076,2.2954639273083877,8.703725530883771,8.405634546159241,9.28248633257924,10.751221568040233,5.6251464791708905,5.4324798712571045,5.999178568611355,6.948396432599555,2.3994382999319215,1.6376429532797268,2.9050264366451017,1.3080396319528709,2.8952840110607614,3.5047054537964075,1.8774860412187595,0.8453762030394165,1.8712089793672289,2.2650546110554015,"{""kind"":""affine"",""coefficients"":[[-7.5465841372536975,1.8372777391454695],[0.14543030270974883,0.6246801452241004],[0.7364589433159469,-0.6027148177299697]],""centre"":[10106.710274662273,10383.59344540793],""scale"":[15210.365471710013,14212.10636526954]}",True,True
webp_q30_ncc,WebP Q30 + Scharr NCC,2,translation,100,24,89,0.89,0.717741935483871,8.056684260676064,2.287942368107579,8.375251730903804,8.018193854103192,9.098723211560976,9.455432296372127,5.41286346734223,5.182158703742508,5.880436363509124,6.110949688420141,1.7897916942246044,1.7423728933501312,2.4978425907564086,0.8825098982952895,2.221450362488295,2.2909805490042605,1.6143357468868829,0.5703604146232188,1.4357041736002307,1.4806439931430693,"{""kind"":""translation"",""coefficients"":[-7.608553186182728,1.8139479470865882],""centre"":[10158.670821099608,10449.704565449598],""scale"":[15389.150055266278,14336.889124427942]}",True,True
