method,method_label_cn,requested_pool_size,soft_ratio_bin,gcp_count,gcp_reuse_at_1,gcp_reuse_at_5,mrr,median_margin,candidate_coverage_5px
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,500,10-25%,78,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.2607421875,0.038461538461538464
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,1000,10-25%,78,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.206298828125,0.07692307692307693
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,5000,10-25%,78,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.142578125,0.2692307692307692
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,100,25-50%,198,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.28759765625,0.005050505050505051
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,500,25-50%,198,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.20556640625,0.025252525252525252
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,1000,25-50%,198,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.2080078125,0.07575757575757576
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,5000,25-50%,198,0.25757575757575757,0.26262626262626265,0.2601010101010101,0.163818359375,0.26262626262626265
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,100,50-75%,148,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.150390625,0.05405405405405406
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,500,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.15625,0.06756756756756757
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,1000,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.12890625,0.06756756756756757
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,5000,50-75%,148,0.2635135135135135,0.2635135135135135,0.2635135135135135,0.171875,0.2635135135135135
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,100,>=75%,239,0.07531380753138076,0.07531380753138076,0.07531380753138076,0.175537109375,0.07531380753138076
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,500,>=75%,239,0.15481171548117154,0.15481171548117154,0.15481171548117154,0.16748046875,0.15481171548117154
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,1000,>=75%,239,0.1799163179916318,0.1799163179916318,0.1799163179916318,0.15673828125,0.1799163179916318
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,5000,>=75%,239,0.28451882845188287,0.28451882845188287,0.28451882845188287,0.168701171875,0.28451882845188287
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,100,0-10%,3,0.0,0.0,0.0,,0.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,500,0-10%,3,0.0,0.0,0.0,,0.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,1000,0-10%,3,0.0,0.0,0.0,,0.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,5000,0-10%,3,0.0,0.0,0.0,,0.0
median_binary_32B_hamming,32 B 中值二值基线,100,10-25%,78,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.26953125,0.02564102564102564
median_binary_32B_hamming,32 B 中值二值基线,500,10-25%,78,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.22265625,0.038461538461538464
median_binary_32B_hamming,32 B 中值二值基线,1000,10-25%,78,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.20703125,0.07692307692307693
median_binary_32B_hamming,32 B 中值二值基线,5000,10-25%,78,0.23076923076923078,0.2692307692307692,0.25,0.078125,0.2692307692307692
median_binary_32B_hamming,32 B 中值二值基线,100,25-50%,198,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.171875,0.005050505050505051
median_binary_32B_hamming,32 B 中值二值基线,500,25-50%,198,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.1875,0.025252525252525252
median_binary_32B_hamming,32 B 中值二值基线,1000,25-50%,198,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.140625,0.07575757575757576
median_binary_32B_hamming,32 B 中值二值基线,5000,25-50%,198,0.24242424242424243,0.26262626262626265,0.2508417508417508,0.0703125,0.26262626262626265
median_binary_32B_hamming,32 B 中值二值基线,100,50-75%,148,0.0472972972972973,0.05405405405405406,0.04954954954954955,0.13671875,0.05405405405405406
median_binary_32B_hamming,32 B 中值二值基线,500,50-75%,148,0.060810810810810814,0.060810810810810814,0.06129343629343629,0.06640625,0.06756756756756757
median_binary_32B_hamming,32 B 中值二值基线,1000,50-75%,148,0.060810810810810814,0.060810810810810814,0.06129343629343629,0.046875,0.06756756756756757
median_binary_32B_hamming,32 B 中值二值基线,5000,50-75%,148,0.24324324324324326,0.25,0.24777992277992278,0.0703125,0.2635135135135135
median_binary_32B_hamming,32 B 中值二值基线,100,>=75%,239,0.058577405857740586,0.07112970711297072,0.06421684555211933,0.10546875,0.07531380753138076
median_binary_32B_hamming,32 B 中值二值基线,500,>=75%,239,0.12133891213389121,0.13807531380753138,0.1290684149358921,0.078125,0.15481171548117154
median_binary_32B_hamming,32 B 中值二值基线,1000,>=75%,239,0.1297071129707113,0.14644351464435146,0.13959456506567766,0.0625,0.1799163179916318
median_binary_32B_hamming,32 B 中值二值基线,5000,>=75%,239,0.22594142259414227,0.24686192468619247,0.2346731797531217,0.080078125,0.28451882845188287
median_binary_32B_hamming,32 B 中值二值基线,100,0-10%,3,0.0,0.0,0.0,,0.0
median_binary_32B_hamming,32 B 中值二值基线,500,0-10%,3,0.0,0.0,0.0,,0.0
median_binary_32B_hamming,32 B 中值二值基线,1000,0-10%,3,0.0,0.0,0.0,,0.0
median_binary_32B_hamming,32 B 中值二值基线,5000,0-10%,3,0.0,0.0,0.0,,0.0
