method,method_label_cn,candidate_pool_size,target_year,attempted_gcps,true_candidate_available_count,candidate_coverage_rate_2px,candidate_coverage_rate_5px,candidate_coverage_rate_10px,gcp_reuse_at_1,gcp_reuse_at_5,gcp_reuse_at_10,conditional_reuse_at_1,conditional_reuse_at_5,mean_rank,median_rank,mrr,conditional_mrr,median_margin,p10_margin,p50_margin,p90_margin,reuse_failure_rate,catastrophic_wrong_match_rate,bytes_per_gcp_mean,bytes_per_gcp_median,compression_ratio_mean,median_normalized_margin,p10_normalized_margin,p90_normalized_margin
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,100,2025,470,14,0.0234042553191489,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,1.0,1.0,1.0,1.0,0.0297872340425531,1.0,0.1943359375,0.09189453125,0.1943359375,0.27998046875,0.9702127659574468,0.0,256.0,256.0,256.0,0.9740346842913816,0.2970724650529758,1.8503730784360275
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,500,2025,470,28,0.0468085106382978,0.0595744680851063,0.0723404255319148,0.0595744680851063,0.0595744680851063,0.0595744680851063,1.0,1.0,1.0,1.0,0.0595744680851063,1.0,0.1865234375,0.092431640625,0.1865234375,0.2423828125,0.9404255319148936,0.0,256.0,256.0,256.0,1.0092879256898941,0.3370461938828873,1.41545574877024
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,1000,2025,470,40,0.0638297872340425,0.0851063829787234,0.1191489361702127,0.0851063829787234,0.0851063829787234,0.0851063829787234,1.0,1.0,1.0,1.0,0.0851063829787234,1.0,0.186767578125,0.078955078125,0.186767578125,0.242138671875,0.9148936170212766,0.0,256.0,256.0,256.0,0.9564549825007961,0.32245275877763757,1.4091779141014993
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,5000,2025,470,101,0.1531914893617021,0.2148936170212766,0.3127659574468085,0.2148936170212766,0.2148936170212766,0.2148936170212766,1.0,1.0,1.0,1.0,0.2148936170212766,1.0,0.1767578125,0.07177734375,0.1767578125,0.2451171875,0.7851063829787234,0.0,256.0,256.0,256.0,0.9639889196621212,0.29813664596146877,1.5649350649246592
median_binary_32B_hamming,32 B 中值二值基线,100,2025,470,14,0.0234042553191489,0.0297872340425531,0.0297872340425531,0.025531914893617,0.0297872340425531,0.0297872340425531,0.8571428571428571,1.0,1.2142857142857142,1.0,0.027304964539007,0.9166666666666666,0.15625,0.0,0.15625,0.23203125,0.9744680851063828,0.0042553191489361,32.0,32.0,2048.0,0.9855769230703402,0.0,2.097499999983917
median_binary_32B_hamming,32 B 中值二值基线,500,2025,470,28,0.0468085106382978,0.0595744680851063,0.0723404255319148,0.0489361702127659,0.051063829787234,0.0531914893617021,0.8214285714285714,0.8571428571428571,4.357142857142857,1.0,0.0505298439461426,0.8481795233816797,0.10546875,-0.0359375,0.10546875,0.21328125,0.951063829787234,0.0106382978723404,32.0,32.0,2048.0,0.646428571425022,-0.11947890818822696,1.429999999990528
median_binary_32B_hamming,32 B 中值二值基线,1000,2025,470,40,0.0638297872340425,0.0851063829787234,0.1191489361702127,0.0702127659574468,0.0723404255319148,0.0744680851063829,0.825,0.85,5.325,1.0,0.0720914400576478,0.8470744206773618,0.0859375,-0.0328124999999999,0.0859375,0.19609375,0.9297872340425531,0.0148936170212765,32.0,32.0,2048.0,0.5108695652139394,-0.11878557874677756,1.4999999999845333
median_binary_32B_hamming,32 B 中值二值基线,5000,2025,470,101,0.1531914893617021,0.2148936170212766,0.3127659574468085,0.1893617021276595,0.2,0.202127659574468,0.8811881188118812,0.9306930693069309,5.564356435643564,1.0,0.1948756037135025,0.9068468687658036,0.078125,-0.0078125,0.078125,0.171875,0.8106382978723404,0.025531914893617,32.0,32.0,2048.0,0.4799999999975424,-0.022222222222159013,1.124999999982
raw_ncc,原始灰度 NCC,100,2026,196,15,0.0612244897959183,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,0.0765306122448979,1.0,1.0,1.0,1.0,0.0765306122448979,1.0,0.4185290932655334,0.222742748260498,0.4185290932655334,0.5989715814590454,0.923469387755102,0.0,65536.0,65536.0,1.0,1.4424017659207105,0.6461385849600637,2.6043389715548146
raw_ncc,原始灰度 NCC,500,2026,196,27,0.1071428571428571,0.1377551020408163,0.1479591836734693,0.1377551020408163,0.1377551020408163,0.1377551020408163,1.0,1.0,1.0,1.0,0.1377551020408163,1.0,0.3822200894355774,0.1099406361579895,0.3822200894355774,0.5553820252418519,0.8622448979591837,0.0,65536.0,65536.0,1.0,1.2748877036153707,0.2852062003812006,2.4054433903350896
raw_ncc,原始灰度 NCC,1000,2026,196,34,0.1224489795918367,0.173469387755102,0.2244897959183673,0.173469387755102,0.173469387755102,0.173469387755102,1.0,1.0,1.0,1.0,0.173469387755102,1.0,0.3712256848812103,0.1066759228706359,0.3712256848812103,0.5545754015445709,0.826530612244898,0.0,65536.0,65536.0,1.0,1.2150337147383135,0.20944772870832987,2.387288074241443
