method,method_label_cn,candidate_pool_size,target_year,paired_gcp_count,gcp_reuse_at_1,gcp_reuse_at_5,gcp_reuse_at_10,mrr,candidate_coverage_rate_5px
webp_q30_ncc,WebP Q30 + NCC,5000,2026,194,0.39690721649484534,0.4020618556701031,0.4020618556701031,0.39948453608247425,0.4020618556701031
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,2026,194,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,2026,194,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,2026,194,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,2026,194,0.39690721649484534,0.4020618556701031,0.4020618556701031,0.39948453608247425,0.4020618556701031
compact_32B_rank_hamming,32 B Rank/Hamming,100,2026,194,0.05670103092783505,0.07216494845360824,0.07216494845360824,0.06357388316151202,0.07216494845360824
compact_32B_rank_hamming,32 B Rank/Hamming,500,2026,194,0.1134020618556701,0.12886597938144329,0.12886597938144329,0.12039206497969385,0.13402061855670103
compact_32B_rank_hamming,32 B Rank/Hamming,1000,2026,194,0.13402061855670103,0.15463917525773196,0.15463917525773196,0.14363435481049464,0.17010309278350516
compact_32B_rank_hamming,32 B Rank/Hamming,5000,2026,194,0.29381443298969073,0.32989690721649484,0.34536082474226804,0.3094557171530424,0.4020618556701031
compact_64B_orientation_l1,64 B 方向/L1,100,2026,194,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824
compact_64B_orientation_l1,64 B 方向/L1,500,2026,194,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103
compact_64B_orientation_l1,64 B 方向/L1,1000,2026,194,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516
compact_64B_orientation_l1,64 B 方向/L1,5000,2026,194,0.39690721649484534,0.4020618556701031,0.4020618556701031,0.3986254295532646,0.4020618556701031
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,2026,194,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,2026,194,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,2026,194,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,5000,2026,194,0.4020618556701031,0.4020618556701031,0.4020618556701031,0.4020618556701031,0.4020618556701031
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,100,2026,194,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,500,2026,194,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,1000,2026,194,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,5000,2026,194,0.39690721649484534,0.4020618556701031,0.4020618556701031,0.39948453608247425,0.4020618556701031
median_binary_32B_hamming,32 B 中值二值基线,100,2026,194,0.05670103092783505,0.06701030927835051,0.06701030927835051,0.061071268489466604,0.07216494845360824
median_binary_32B_hamming,32 B 中值二值基线,500,2026,194,0.1134020618556701,0.12886597938144329,0.12886597938144329,0.119431716940308,0.13402061855670103
median_binary_32B_hamming,32 B 中值二值基线,1000,2026,194,0.13917525773195877,0.15463917525773196,0.15979381443298968,0.14717295255170648,0.17010309278350516
median_binary_32B_hamming,32 B 中值二值基线,5000,2026,194,0.3402061855670103,0.38144329896907214,0.38144329896907214,0.3573889250193049,0.4020618556701031
